obs_time,valid_time,lead_hour_from_case_start,lon,lat,platform_id,platform_type,obs_wind_speed,obs_wind_dir,gdas_model_step_hour,gdas_wind_speed,gdas_wind_dir,gdas_u10,gdas_v10,era5lagged_model_step_hour,era5lagged_wind_speed,era5lagged_wind_dir,era5lagged_u10,era5lagged_v10,time_diff_minutes,distance_to_typhoon_center_km,azimuth_from_typhoon_center_deg,radius_bin,quadrant,gdas_speed_error,era5lagged_speed_error,gdas_direction_error,era5lagged_direction_error,gdas_abs_error,era5lagged_abs_error,gdas_sq_error,era5lagged_sq_error,coarse_radius_bin,forecast_period
2025-07-17 00:00:00,2025-07-17 00:00:00,0,126.6,14.7,VRDN3,5.0,7.2,50.0,0,7.111463386647445,57.24683104209578,-5.980805358886711,-3.847450942993185,120,7.346855962999362,7.287321286712881,-0.9319127810001112,-7.287511997222914,0.0,65.49864160813351,279.8500404288534,0-100 km,front_left,-0.08853661335255492,0.14685596299936154,7.246831042095778,42.71267871328712,0.08853661335255492,0.14685596299936154,0.007838731903939805,0.021566673868469846,0-400 km,outside_18_72_h
2025-07-17 18:00:00,2025-07-17 18:00:00,18,129.9,15.8,DGTHCFK,5.0,12.9,200.0,18,12.921589832088095,156.6868445790907,-5.113801517486577,11.866613578796374,138,12.61820490116784,153.77014490976563,-5.5769099998474125,11.318885536193838,0.0,568.5804852972263,106.31959291338724,400-600 km,rear_right,0.02158983208809495,-0.2817950988321609,43.31315542090931,46.229855090234366,0.02158983208809495,0.2817950988321609,0.0004661208495921344,0.07940847772582733,400-600 km,18-48 h
2025-07-18 12:00:00,2025-07-18 12:00:00,36,122.3,22.2,2DBR8,5.0,17.5,90.0,36,11.087629060865629,84.55836573506292,-11.037660636901853,-1.051458917856237,156,10.68852136230772,87.58569879936431,-10.679033660888669,-0.4502543526888072,0.0,333.74685718920256,358.23148763231217,200-400 km,front_right,-6.412370939134371,-6.8114786376922805,5.441634264937079,2.414301200635691,6.412370939134371,6.8114786376922805,41.11850106105502,46.39624123173829,0-400 km,18-48 h
2025-07-18 12:00:00,2025-07-18 12:00:00,36,117.21,20.61,LED82EE,5.0,9.2,305.0,36,3.564098605917227,34.52516116936573,-2.0200173715591374,-2.936380202102656,156,8.22097458854645,41.99260251830873,-5.500116881561256,-6.110084899139402,0.0,564.7822546789147,286.9892748504753,400-600 km,front_left,-5.635901394082772,-0.9790254114535486,89.52516116936573,96.99260251830871,5.635901394082772,0.9790254114535486,31.763384523824136,0.9584907562717901,400-600 km,18-48 h
2025-07-18 15:00:00,2025-07-18 15:00:00,39,117.65,21.13,LED82EE,5.0,12.5,315.0,39,5.271708733769574,26.72556731483189,-2.370780233383182,-4.708536296844487,159,9.85274085803067,55.2029198052702,-8.090856906890886,-5.622680582046518,0.0,435.8877110347378,293.633835074061,400-600 km,front_right,-7.228291266230426,-2.6472591419693305,71.72556731483189,100.2029198052702,7.228291266230426,2.6472591419693305,52.24819462946305,7.007980964740196,400-600 km,18-48 h
2025-07-18 18:00:00,2025-07-18 18:00:00,42,120.2,25.0,LAHR7,5.0,10.8,80.0,42,9.199351261401794,58.48575538726016,-7.842541122436526,-4.808597755432121,162,10.062907234071025,63.46452365801099,-9.002859592437746,-4.4956224441528265,0.0,592.5512063646723,354.13475939427855,400-600 km,front_right,-1.6006487385982062,-0.7370927659289759,21.514244612739844,16.53547634198901,1.6006487385982062,0.7370927659289759,2.5620763843760286,0.543305745584828,400-600 km,18-48 h
2025-07-18 18:00:00,2025-07-18 18:00:00,42,118.05,21.61,LED82EE,5.0,13.5,5.0,42,6.920541681230241,28.463129251009093,-3.298282611846928,-6.084014215469364,162,11.118968544464582,70.05054500667922,-10.451763465881342,-3.793692389488225,0.0,356.32030384795894,307.06353181169794,200-400 km,front_right,-6.579458318769759,-2.3810314555354175,23.463129251009093,65.05054500667922,6.579458318769759,2.3810314555354175,43.289271768428584,5.669310792249109,0-400 km,18-48 h
2025-07-18 18:00:00,2025-07-18 18:00:00,42,116.9,16.2,TAKFBTD,5.0,7.0,290.0,42,9.010633310457132,285.9859477697951,8.662185535430913,-2.4815427470207188,162,12.790133441559629,326.2599840703116,7.10396417617798,-10.635845355987543,0.0,567.085755781624,227.28660021617137,400-600 km,front_left,2.0106333104571323,5.790133441559629,4.014052230204925,36.25998407031159,2.0106333104571323,5.790133441559629,4.0426463091198075,33.52564527106715,400-600 km,18-48 h
2025-07-18 18:00:00,2025-07-18 18:00:00,42,116.94,16.28,TAKFBTD,5.0,7.1,290.0,42,8.945932262024359,287.16945307966387,8.547264675903318,-2.640827634811404,162,12.8407972548283,329.27824423464244,6.559970072937006,-11.038698600006107,0.0,557.8505241956896,227.64108487660184,400-600 km,front_left,1.845932262024359,5.7407972548282995,2.8305469203361326,39.27824423464244,1.845932262024359,5.7407972548282995,3.4074659159823666,32.95675312104414,400-600 km,18-48 h
2025-07-18 21:00:00,2025-07-18 21:00:00,45,118.46,22.08,LED82EE,5.0,22.0,350.0,45,7.438658778059681,34.43483301813387,-4.206327425384522,-6.135181660461437,165,11.069701295491768,77.42827926447887,-10.804297582244873,-2.409448178672807,0.0,302.299745563683,323.61442415597395,200-400 km,front_right,-14.561341221940319,-10.930298704508232,44.43483301813387,87.42827926447887,14.561341221940319,10.930298704508232,212.03265818177837,119.47142976977433,0-400 km,18-48 h
