forecast_period,model,n,bias,mae,rmse,low_sample,rmse_change_percent_relative_to_era5lagged,median_abs_error
18-48 h,GDAS_Realtime,11,-2.8595830277819663,4.78005549562819,6.207966235202997,False,-6.1755487305635635,5.635901394082772
18-48 h,ERA5_Lagged,11,-0.01467395822184288,4.488595353763602,5.846888769990392,False,-6.1755487305635635,2.6472591419693305
48-72 h,GDAS_Realtime,47,-0.5128993291097184,4.235329316791343,5.014379590195952,False,29.63772941567458,3.664980251694291
48-72 h,ERA5_Lagged,47,1.2996134198947273,5.950936068892702,7.1265175903988,False,29.63772941567458,4.801357727168567
18-72 h,GDAS_Realtime,58,-0.957960030582041,4.338639454156953,5.261597073422162,False,23.76799139908543,3.787097970828556
18-72 h,ERA5_Lagged,58,1.050352020596757,5.673595588437183,6.902083744070516,False,23.76799139908543,4.5036230764405385
