model,n,bias,mae,rmse,median_abs_error
GDAS_Realtime,59,-0.9432240404595075,4.266603812787386,5.216829443300111,3.664980251694291
ERA5_Lagged,59,1.0350385280951064,5.579922035463661,6.843368244999384,4.2058884257125095
