data_type,data_group,pressure_level_label,variable,lead_hour,case_count,valid_case_count,n_total,rmse_monthly_pooled,mae_monthly_weighted,bias_monthly_weighted,corr_monthly_weighted_mean,rmse_daily_mean,mae_daily_mean,bias_daily_mean,corr_daily_mean,pred_mean_monthly_weighted,truth_mean_monthly_weighted,diff_std_daily_mean
era5,surface,surface,msl,1,31.0,31.0,175770.0,198.21883444882965,141.09202064487684,17.30318384821073,0.8770619243605576,183.5615454926856,141.09202064487684,17.303183848210733,0.8770619243605576,100502.14094270923,100484.83775886102,154.14025469301683
era5,surface,surface,msl,3,31.0,31.0,175770.0,206.09583753081904,145.28638068391933,33.84056921865221,0.8683171307337401,190.01846696200082,145.28638068391933,33.84056921865222,0.8683171307337402,100510.2286061419,100476.38803692325,157.71370097120695
era5,surface,surface,msl,6,31.0,31.0,175770.0,208.85952265936578,148.25463102971923,18.307443965302667,0.8691598733370877,192.1889777827747,148.25463102971923,18.307443965302678,0.8691598733370877,100394.071322898,100375.7638789327,155.8748382184142
era5,surface,surface,msl,12,31.0,31.0,175770.0,218.26688451548404,155.17218441980287,47.49835289458525,0.8716881175412154,201.2110796361088,155.17218441980285,47.49835289458523,0.8716881175412154,100468.06152422645,100420.56317133186,163.37311358099114
era5,surface,surface,msl,24,31.0,31.0,175770.0,234.34800835570073,169.6758402315526,45.104058259728625,0.8255330725854857,219.01413409558134,169.67584023155263,45.10405825972863,0.8255330725854856,100492.75580343809,100447.65174517836,179.79914067904113
era5,surface,surface,msl,48,31.0,31.0,175770.0,289.7590312596883,213.60981980624538,108.30014860951101,0.7600878739906387,267.98053575934017,213.60981980624538,108.300148609511,0.7600878739906388,100539.90074526992,100431.60059666041,213.5431545481459
era5,surface,surface,msl,72,31.0,31.0,175770.0,334.3413298221635,248.72404111640924,145.93708888479975,0.6687250604713072,312.736734253075,248.7240411164092,145.93708888479972,0.6687250604713073,100566.4121920025,100420.47510311771,247.61447386050068
era5,surface,surface,t2m,1,31.0,31.0,175770.0,0.809527913430341,0.614097526113199,-0.2833569649672857,0.8010101827900107,0.7863404663772863,0.614097526113199,-0.2833569649672857,0.8010101827900108,300.9135690678127,301.19692603277997,0.7167540174637673
era5,surface,surface,t2m,3,31.0,31.0,175770.0,0.8450513970643999,0.6374134864770234,-0.21926276163618913,0.7670889934402964,0.8256327864495577,0.6374134864770236,-0.21926276163618913,0.7670889934402965,301.15492777614156,301.37419053777774,0.7771256296111871
era5,surface,surface,t2m,6,31.0,31.0,175770.0,0.8920079902762419,0.6774586558782818,-0.25447237815928553,0.7463174808763714,0.8755087699311421,0.6774586558782818,-0.2544723781592855,0.7463174808763715,301.25255386839547,301.5070262465548,0.8176983635663059
