data_type,data_group,pressure_level_label,variable,lead_hour,case_count,valid_case_count,n_total,rmse_monthly_pooled,mae_monthly_weighted,bias_monthly_weighted,corr_monthly_weighted_mean,rmse_daily_mean,mae_daily_mean,bias_daily_mean,corr_daily_mean,pred_mean_monthly_weighted,truth_mean_monthly_weighted,diff_std_daily_mean
gdas,surface,surface,msl,1,31.0,31.0,175770.0,49.56263054884016,36.15019901273681,-16.571692121629116,0.9897728028960537,48.32863875219813,36.15019901273681,-16.57169212162912,0.9897728028960536,100468.26606673938,100484.83775886102,43.69173862584106
gdas,surface,surface,msl,3,31.0,31.0,175770.0,51.73792980306647,39.45243571144109,-24.62588552334016,0.9898527580364052,50.424232667953,39.45243571144108,-24.62588552334016,0.989852758036405,100451.76215139992,100476.38803692325,42.360778538506786
gdas,surface,surface,msl,6,31.0,31.0,175770.0,68.74397902874217,57.411702682305,-52.670582939530355,0.9906616812530837,67.58847572094712,57.411702682305,-52.670582939530355,0.9906616812530838,100323.09329599317,100375.7638789327,41.23014695553806
gdas,surface,surface,msl,12,31.0,31.0,175770.0,57.65545403933022,42.78995217916169,12.065973088944359,0.9862017541569007,56.67198855500309,42.78995217916169,12.06597308894436,0.9862017541569007,100432.6291444208,100420.56317133186,50.99707749166466
gdas,surface,surface,msl,24,31.0,31.0,175770.0,76.65289407107748,58.1902411087643,-39.821693210587696,0.9841443359684705,73.08504165534178,58.19024110876429,-39.821693210587696,0.9841443359684705,100407.83005196777,100447.65174517836,56.85586568807722
gdas,surface,surface,msl,48,31.0,31.0,175770.0,105.63553196345659,80.6743125115563,-57.199562260873584,0.9726182897326233,100.05444533505509,80.67431251155628,-57.19956226087359,0.9726182897326229,100374.40103439953,100431.60059666041,75.05562858803862
gdas,surface,surface,msl,72,31.0,31.0,175770.0,141.95765977199542,109.6548878017082,-83.89163797594158,0.9580623666444429,133.97907050086926,109.65488780170818,-83.89163797594158,0.9580623666444427,100336.58346514177,100420.47510311771,92.96727058109558
gdas,surface,surface,t2m,1,31.0,31.0,175770.0,0.8468091739383937,0.621175356524901,0.11456731520747879,0.8175555549599505,0.8319302765186645,0.621175356524901,0.1145673152074788,0.8175555549599509,301.3114933479875,301.19692603277997,0.8191726860987949
gdas,surface,surface,t2m,3,31.0,31.0,175770.0,0.8299433502795251,0.6056339854882657,0.12673686888530308,0.8155780032448736,0.8166341060499575,0.6056339854882656,0.12673686888530308,0.8155780032448737,301.50092740666304,301.37419053777774,0.8038267248217676
gdas,surface,surface,t2m,6,31.0,31.0,175770.0,0.7886888647699268,0.568354768281559,0.02627909783448361,0.8256296479123583,0.7754957047876914,0.568354768281559,0.02627909783448361,0.8256296479123584,301.53330534438925,301.5070262465548,0.7721492155869659
gdas,surface,surface,t2m,12,31.0,31.0,175770.0,0.7315130947522305,0.5211583472765868,-0.19285746970097747,0.8669959987035223,0.7179534225260391,0.5211583472765867,-0.19285746970097753,0.8669959987035222,301.2692121722005,301.4620696419015,0.6815409927094285
gdas,surface,surface,t2m,24,31.0,31.0,175770.0,0.6726806040067786,0.48152234025963775,-0.08499591395724325,0.8683845007655759,0.6644060712897051,0.4815223402596377,-0.08499591395724324,0.868384500765576,301.0759080877183,301.16090400167553,0.6545964143650423
gdas,surface,surface,t2m,48,31.0,31.0,175770.0,0.6663247185781946,0.486965810343112,-0.1893767504071649,0.8608356489420057,0.661323682586764,0.4869658103431119,-0.1893767504071649,0.8608356489420059,300.9987956249165,301.1881723753237,0.6291699691037704
gdas,surface,surface,t2m,72,31.0,31.0,175770.0,0.6913462913842315,0.5172149455933235,-0.25722977668140207,0.846929793324803,0.6877668555794564,0.5172149455933235,-0.257229776681402,0.8469297933248029,300.96514764540416,301.2223774220856,0.6314562320434098
gdas,surface,surface,u10,1,31.0,31.0,175770.0,1.4070570216186828,1.0177083037617514,0.00010538886231754898,0.9536464161167554,1.396050970657944,1.0177083037617514,0.00010538886231754997,0.9536464161167555,0.8675498863756966,0.867444497513379,1.3825493399244226
gdas,surface,surface,u10,3,31.0,31.0,175770.0,1.3614275727244578,0.9756567933728233,0.060680300884409566,0.9560585075832543,1.3491899922849853,0.9756567933728235,0.06068030088440957,0.9560585075832543,0.9880283869258051,0.9273480860413955,1.3344319322943
gdas,surface,surface,u10,6,31.0,31.0,175770.0,1.3102140673530247,0.9558751101565749,0.0330091469379556,0.9602427894226427,1.2985749387723142,0.955875110156575,0.033009146937955605,0.960242789422643,1.0960323325051653,1.0630231855672096,1.2860004611250502
gdas,surface,surface,u10,12,31.0,31.0,175770.0,1.457945145341644,1.065132043038338,0.24812429806064107,0.9455439449415841,1.4399724459051109,1.065132043038338,0.248124298060641,0.945543944941584,0.4749408144913037,0.22681651643066267,1.4055368586824788
gdas,surface,surface,u10,24,31.0,31.0,175770.0,1.4939775821731196,1.0875748093790958,-0.11650394253144934,0.9484095388728505,1.4773944821549108,1.0875748093790958,-0.11650394253144934,0.9484095388728504,0.9627328789506463,1.0792368214820958,1.4522410136660162
gdas,surface,surface,u10,48,31.0,31.0,175770.0,1.7662962016377837,1.2552839680712384,-0.051786001843393464,0.9297860446349797,1.7291527230909247,1.2552839680712382,-0.051786001843393485,0.9297860446349796,1.1661226998473688,1.2179087016907624,1.7041795467686927
gdas,surface,surface,u10,72,31.0,31.0,175770.0,2.0297285211990435,1.4182506497806142,0.031463218284000935,0.9016716832520651,1.9629674394809413,1.4182506497806142,0.031463218284000956,0.9016716832520651,1.3560182929337785,1.3245550746497776,1.9329998110113003
gdas,surface,surface,v10,1,31.0,31.0,175770.0,1.455228543707236,1.0538037393197401,0.19754456984569183,0.9296831014170509,1.4467265023035683,1.05380373931974,0.1975445698456918,0.9296831014170508,3.207735839968924,3.0101912701232325,1.4234594213264447
gdas,surface,surface,v10,3,31.0,31.0,175770.0,1.3486814858969767,0.9814239276490299,0.17282756568868546,0.9363201352705895,1.3417227272336076,0.9814239276490299,0.17282756568868543,0.9363201352705894,3.277715161828172,3.1048875961394864,1.3162758286914031
gdas,surface,surface,v10,6,31.0,31.0,175770.0,1.3038156249107027,0.9589135868624578,0.126118767117809,0.9366196037285287,1.298134363888166,0.9589135868624579,0.126118767117809,0.9366196037285287,3.177385277688374,3.0512665105705654,1.2782761529089175
