data_group,pressure_level,variable,n,rmse,bias,mae,corr,pred_mean,truth_mean,diff_std,data_type,target_time,pred_start_time,lead_hour,model_forecast_hour,valid_time
surface,,msl,5670,103.31674661310701,-73.79322709986772,88.82259906856261,0.9603259852228551,100887.36138048391,100961.15460758377,72.31120082604289,era5,2025-07-01-00-00,2025-06-26-00-00,1,121,2025-07-01-01-00
surface,,u10,5670,1.729423721630403,0.16286714478236552,1.3576873713871054,0.8436221144312088,-2.3081973686242705,-2.471064513406636,1.7217376983990311,era5,2025-07-01-00-00,2025-06-26-00-00,1,121,2025-07-01-01-00
surface,,v10,5670,1.5641143008610485,-0.4709663230025684,1.2157100899128581,0.843143359160564,2.1096541052812308,2.5806204282837992,1.4915241428671167,era5,2025-07-01-00-00,2025-06-26-00-00,1,121,2025-07-01-01-00
surface,,t2m,5670,0.6815961067494862,-0.1930364807236552,0.5395069263599537,0.9082882282483952,300.62378605702986,300.8168225377535,0.6536896586652438,era5,2025-07-01-00-00,2025-06-26-00-00,1,121,2025-07-01-01-00
surface,,wind10,5670,1.4713911984342734,-0.6892751387702213,1.1577225369101793,0.714564191070784,4.561768824387458,5.251043963157678,1.2999584000663789,era5,2025-07-01-00-00,2025-06-26-00-00,1,121,2025-07-01-01-00
surface,,msl,5670,99.4426231746287,-63.81996596671076,82.8122127149471,0.9497456118363473,100908.79559840719,100972.6155643739,76.26170236664719,era5,2025-07-01-00-00,2025-06-26-00-00,3,123,2025-07-01-03-00
surface,,u10,5670,1.712930297414331,-0.025328770282840918,1.3024527474163623,0.8535137151614717,-2.4493275246058954,-2.4239987543230543,1.7127430213537311,era5,2025-07-01-00-00,2025-06-26-00-00,3,123,2025-07-01-03-00
surface,,v10,5670,1.5287146354266832,-0.3451226012843679,1.1833668776520083,0.847005698413338,2.2282751720411804,2.5733977733255484,1.48924773850775,era5,2025-07-01-00-00,2025-06-26-00-00,3,123,2025-07-01-03-00
surface,,t2m,5670,0.7282909378262831,-0.13418033068352486,0.5649948658346079,0.8931483728427428,300.91322004530167,301.04740037598515,0.7158235320087953,era5,2025-07-01-00-00,2025-06-26-00-00,3,123,2025-07-01-03-00
surface,,wind10,5670,1.3883670641988424,-0.5088709739263965,1.0682505072086663,0.727903942594197,4.764592427716135,5.273463401642531,1.2917482095390391,era5,2025-07-01-00-00,2025-06-26-00-00,3,123,2025-07-01-03-00
surface,,msl,5670,122.60508274869615,-98.66623539462081,103.00382908950617,0.9554374639635725,100800.89857942019,100899.56481481482,72.78035661404734,era5,2025-07-01-00-00,2025-06-26-00-00,6,126,2025-07-01-06-00
surface,,u10,5670,1.7924930474437117,-0.22059517217376245,1.3382682290404535,0.8395220030585508,-2.4659322100289076,-2.245337037855145,1.778867363000309,era5,2025-07-01-00-00,2025-06-26-00-00,6,126,2025-07-01-06-00
surface,,v10,5670,1.546561129695682,-0.04938624924873339,1.1483932210970178,0.8312016550391731,2.314536278945849,2.3639225281945824,1.5457724044214034,era5,2025-07-01-00-00,2025-06-26-00-00,6,126,2025-07-01-06-00
surface,,t2m,5670,0.7324360397564507,-0.1882389425180156,0.575762242446711,0.8969193115777567,301.01756037690234,301.20579931942035,0.7078337748750141,era5,2025-07-01-00-00,2025-06-26-00-00,6,126,2025-07-01-06-00
surface,,wind10,5670,1.379259198358453,-0.16905531637372767,1.0806293596835659,0.7059635246658705,4.863961086113516,5.033016402487244,1.3688594654902237,era5,2025-07-01-00-00,2025-06-26-00-00,6,126,2025-07-01-06-00
surface,,msl,5670,110.4854460306416,-73.19157572751323,95.64014550264551,0.939859470492726,100851.51691192681,100924.70848765432,82.76489006283713,era5,2025-07-01-00-00,2025-06-26-00-00,12,132,2025-07-01-12-00
surface,,u10,5670,1.7934659069727,0.21318191350544466,1.4688280299555583,0.8288879016998372,-2.6099021692577966,-2.8230840827632413,1.7807508054827792,era5,2025-07-01-00-00,2025-06-26-00-00,12,132,2025-07-01-12-00
surface,,v10,5670,1.6995355932334344,0.17357476173228267,1.34260735058569,0.7689422877231551,2.057164760276912,1.8835899985446292,1.690648702349753,era5,2025-07-01-00-00,2025-06-26-00-00,12,132,2025-07-01-12-00
surface,,t2m,5670,0.7577626013431756,-0.27814892158306465,0.6129118769677648,0.8931243683960884,300.8150300498572,301.0931789714403,0.7048668934036798,era5,2025-07-01-00-00,2025-06-26-00-00,12,132,2025-07-01-12-00
surface,,wind10,5670,1.5883187664911658,-0.11267563659124881,1.2699268580034295,0.6404707657141311,4.760338135393746,4.873013771984995,1.5843171099583488,era5,2025-07-01-00-00,2025-06-26-00-00,12,132,2025-07-01-12-00
surface,,msl,5670,170.08257904731587,-142.58949583884478,149.8705322696208,0.9192868843437315,100863.51462673611,101006.10412257495,92.71633821398747,era5,2025-07-01-00-00,2025-06-26-00-00,24,144,2025-07-02-00-00
surface,,u10,5670,2.204722942762708,0.5507117836629377,1.7710664438047632,0.815148976516821,-1.4010742535601113,-1.9517860372230489,2.1348348380329196,era5,2025-07-01-00-00,2025-06-26-00-00,24,144,2025-07-02-00-00
surface,,v10,5670,1.8275461703840015,-0.04709464205425673,1.42978999430225,0.7541603498286128,1.6395942900651768,1.6866889321194334,1.8269392709050325,era5,2025-07-01-00-00,2025-06-26-00-00,24,144,2025-07-02-00-00
surface,,t2m,5670,0.7561957135677708,-0.20705612424820188,0.6186877188438671,0.8679847074538982,300.5475724073945,300.7546285316427,0.7272961698163846,era5,2025-07-01-00-00,2025-06-26-00-00,24,144,2025-07-02-00-00
surface,,wind10,5670,1.8030475814546738,-0.5331168709695945,1.468260939607307,0.5434480014403993,4.3417950789808515,4.874911949950446,1.7224305451533126,era5,2025-07-01-00-00,2025-06-26-00-00,24,144,2025-07-02-00-00
